--- Users List ---
ID: ae18735b-14c8-4d92-ba08-4a8dab2ca151 | Email: admin@colonyai.com | Name: System Administrator | Role: ADMIN | Hash: $argon2id$v=19$m=65536,t=3,p=4$4cO+PcDIEAsnNTkeKC/ShQ$7P8pOiOIUoWkY7YvI8S6f5LrT788VeeXrBLoLO3DFsc | RecoveryPassword: None
ID: 88fec2ef-3c35-47ac-acef-d22ad7c0d807 | Email: analyst@colonyai.com | Name: Lead Analyst Primary | Role: ANALYST | Hash: $argon2id$v=19$m=65536,t=3,p=4$6x0g5Q8h3KDKJdl0pH8N4w$OfIF8BiXxlwsQP4bAbj7y4pJQKbZ/j4izU/ahedhHQA | RecoveryPassword: None
ID: c411638e-5941-4ae9-a89d-76e938aae049 | Email: manager@colonyai.com | Name: Laboratory Manager | Role: MANAGER | Hash: $argon2id$v=19$m=65536,t=3,p=4$bpv7w3leZekx5JD0n9RYPg$B26wu3DNKg/K8w8c79lRhrbQWFKYwAp1xqoLm2WePNc | RecoveryPassword: None
ID: 1f32674f-fe65-4e4d-8d41-a5ecf800b711 | Email: auditor@colonyai.com | Name: External Auditor | Role: AUDITOR | Hash: $argon2id$v=19$m=65536,t=3,p=4$i6fANTebksDjAQU/zTpGSA$u1prQe8PmD2HrkRNW6KvkZ1Nr98I0JSeYS9vAIS6jbg | RecoveryPassword: None
ID: f3506c67-97bc-4578-9574-e7906915c0f4 | Email: master@colonyai.diag | Name: Global Master Administrator | Role: SUPER_ADMIN | Hash: $argon2id$v=19$m=65536,t=3,p=4$hlhar5XzHmXVLedDrsJcsw$GI1S3109WXKG3/OqH0InfgUI94dZ66H+XHVcsyXFI2M | RecoveryPassword: None
ID: 4f33aaf2-1966-4b14-aaa9-03e32c4ad2a8 | Email: admin@prodia.co.id | Name: Dr. Andi Hermawan | Role: ADMIN | Hash: $argon2id$v=19$m=65536,t=3,p=4$/jAzdPPoSxnFB9YvzcffOQ$2ek9MNMXu0UVMfkXvfSO2GAaWP6GHJ8s0mQ6ciHRizk | RecoveryPassword: Andi.Prodia2026!
ID: 637ad505-3943-4dfa-aeb7-a29086842d1a | Email: manager@prodia.co.id | Name: Manager PT Prodia Widyahusada Tbk | Role: MANAGER | Hash: $argon2id$v=19$m=65536,t=3,p=4$ULV9FTKE6kV5vNzTqAhd2w$RiyCAZVRuBlnNYR7DzrZQZGurJioGylC/VZoRcraILc | RecoveryPassword: Manager.Prodia2026!
ID: 51b8a043-1f24-41db-bc05-1e4b298b393f | Email: auditor@prodia.co.id | Name: Auditor PT Prodia Widyahusada Tbk | Role: AUDITOR | Hash: $argon2id$v=19$m=65536,t=3,p=4$k8P2ejzYTGcwNIQfrA/bWg$qjdSDSmXrTlhlzt1p2L+ioSx7GIEt3J/i84qzL/blqI | RecoveryPassword: Auditor.Prodia2026!
ID: a867ee3e-31b2-445e-8027-cb3ddabd3f09 | Email: analyst@prodia.co.id | Name: Analyst PT Prodia Widyahusada Tbk | Role: ANALYST | Hash: $argon2id$v=19$m=65536,t=3,p=4$Upbnqwgi/nDYcGuMumEORg$/liGmjvvGY6mdB750h53m+lD+oxekQEDE/u4Swb1vlA | RecoveryPassword: Analyst.Prodia2026!
ID: ec9f0cbd-0a6c-4950-a5ba-f4777123e377 | Email: admin@biofarma.id | Name: Budi Santoso, M.Sc | Role: ADMIN | Hash: $argon2id$v=19$m=65536,t=3,p=4$XHxKtMoWG6H/FUfKPwztVQ$wzKHtYTl8L5DfxqjSG37K9IFI+e7PlibBt/KpS7TTkI | RecoveryPassword: Budi.Bio2026!
ID: 9d384a1c-3210-43fd-a76c-ae0d714ebc97 | Email: manager@biofarma.id | Name: Manager PT Bio Farma (Persero) | Role: MANAGER | Hash: $argon2id$v=19$m=65536,t=3,p=4$65RDuKZnx63pPKdAaKfnKQ$CFNFqRI7eAYX0a7DM//JBr+hQ3NWeWzFqR5exiQlhro | RecoveryPassword: Manager.Bio2026!
ID: 0da9100e-618c-49cb-b23b-541b7b693cd4 | Email: auditor@biofarma.id | Name: Auditor PT Bio Farma (Persero) | Role: AUDITOR | Hash: $argon2id$v=19$m=65536,t=3,p=4$Rf6BMEuynzLIAAHKIs6rSQ$m5e0E3HxuP8L9pLFhym6INQt/kfPrlThOk0pYy16ogA | RecoveryPassword: Auditor.Bio2026!
ID: 734fa334-796f-4dbb-b403-165e14c802cd | Email: analyst@biofarma.id | Name: Analyst PT Bio Farma (Persero) | Role: ANALYST | Hash: $argon2id$v=19$m=65536,t=3,p=4$580b+15L5hqc/+vBIUUZXw$Gjs8x1ML9ypOZqXLaolbrTutggMBvxWGgUfGS8UrjrA | RecoveryPassword: Analyst.Bio2026!
ID: a523c635-8c22-4042-aac1-032bf0b04930 | Email: admin@quest.com | Name: Sarah Jenkins | Role: ADMIN | Hash: $argon2id$v=19$m=65536,t=3,p=4$BoJFmcyW5mlWf3lFSn/YfA$gJDGTvCQ1yk6RJW8nWy8vNcStfUm6sm2OeepQ46bmMA | RecoveryPassword: Sarah.Quest2026!
ID: b8df60d7-0542-491c-9e6d-c7b202c07c29 | Email: manager@quest.com | Name: Manager Quest Diagnostics | Role: MANAGER | Hash: $argon2id$v=19$m=65536,t=3,p=4$c41JYjkP/uA9AYBY45nZig$LBluKhxIf5Qws6ofMh6dzV0cRypXxj/2LspeOpCh/Pw | RecoveryPassword: Manager.Quest2026!
ID: 516c064e-4274-4807-8161-e3c6417cbea0 | Email: auditor@quest.com | Name: Auditor Quest Diagnostics | Role: AUDITOR | Hash: $argon2id$v=19$m=65536,t=3,p=4$Jc0tpa7npSg6MqXctSjkAQ$KMHdpIPnTBrJeGD5WsTZ4+4NMnidJkGwBcWmbQ6jKbI | RecoveryPassword: Auditor.Quest2026!
